dc_title,dcterms_alternative,dc_creator,dc_subject,dc_description,dc_publisher,dc_contributor,dc:type,dc:format,dc:identifier,dc:source,dc:language,dcterms:isPartOf,dcterms:spatial,dcterms:temporal,dc:rights,SLQ Digitool viewer,1000_pixel_jpg and 150_pixel_jpg images,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queensland waltz,,"Rowland, Leila Ruth,1879-1958.",Waltzes Piano music--Queensland,,State Library of Queensland,,image,Digital format: image/jpeg Original format: 1 score (10 p.) ; 36 cm,,"Copied and digitised from Queensland waltz by Leila Ruth Rowland. Sydney, N.S.W. : W.H. Paling, 1913. Item is held by State Library of Queensland.",,Is part of: Accession number: Bib 716649 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1194 ,Queensland,1913,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1194,Queensland waltz - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401822&custom_att_3=NLA,Queensland waltz - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401826&custom_att_3=NLA,Queensland waltz - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401830&custom_att_3=NLA,Queensland waltz - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401834&custom_att_3=NLA,Queensland waltz - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401838&custom_att_3=NLA,Queensland waltz - Page 6 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401842&custom_att_3=NLA,Queensland waltz - Page 7 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401846&custom_att_3=NLA,Queensland waltz - Page 8 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401850&custom_att_3=NLA,Queensland waltz - Page 9 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401854&custom_att_3=NLA,027455-s001 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401823,027455-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401827,027455-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401831,027455-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401835,027455-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401839,027455-s006 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401843,027455-s007 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401847,027455-s008 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401851,027455-s009 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401855,,,,,,,,,,,,,,,,
Australia unfurl the flag!,,"Neech, G. Christian(George Christian )","Songs, English--Queensland",,State Library of Queensland,,image,Digital format: image/jpeg Original format: 1 score (3 p.) ; 37 cm.,,"Copied and digitised from Australia unfurl the flag! G. Christian Neech Brisbane : Sapsford, 1914 Item is held by State Library of Queensland.",,Accession number: 721874 Is part of: Exhibition: Just Gorgeous Sheet Music Exhibition Is part of: View score online: http://hdl.handle.net/10462/comp/1201 ,,1914,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1201,Australia unfurl the flag! - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401859&custom_att_3=NLA,Australia unfurl the flag! - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401863&custom_att_3=NLA,Australia unfurl the flag! - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401867&custom_att_3=NLA,Australia unfurl the flag! - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401871&custom_att_3=NLA,Australia unfurl the flag! - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401875&custom_att_3=NLA,049708-s001 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401860,049708-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401864,049708-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401868,049708-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401872,049708-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401876,,,,,,,,,,,,,,,,,,,,,,,,
Brothers in arms patriotic song,,"Herbert, R. Molyneux.",light-horsemen Australian flags,,State Library of Queensland,,image,Digital format: image/jpeg Original format: 1 score (6) p. ; 35 cm.,,"Copied and digitised from Brothers in arms patriotic song / words and music by R. Molyneux Herbert Brisbane, Qld. : Chivers and Co, [ca. 1900]. Item is held by State Library of Queensland.",,Accession number: Bib 733261 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1205 ,,ca 1900,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1205,Brothers in arms patriotic song - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401884&custom_att_3=NLA,Brothers in arms patriotic song - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401888&custom_att_3=NLA,Brothers in arms patriotic song - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401892&custom_att_3=NLA,Brothers in arms patriotic song - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401896&custom_att_3=NLA,Brothers in arms patriotic song - Page 6 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401900&custom_att_3=NLA,Brothers in arms patriotic song - Page 7 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401904&custom_att_3=NLA,Brothers in arms patriotic song - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401880&custom_att_3=NLA,065381-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401885,065381-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401889,065381-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401893,065381-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401897,065381-s006 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401901,065381-s007 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401905,Brothers in arms patriotic song thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401881,,,,,,,,,,,,,,,,,,,,
The absent minded beggar,,"Lewin, Esther M.",Songs (Medium voice) with piano,Cover title.,State Library of Queensland,"Kipling, Rudyard,1865-1936.",image,Digital format: image/jpeg Original format: 1 score (5) p. ; 35 cm.,,"Copied and digitised from The absent minded beggar words by Rudyard Kipling ; music by Esther M. Lewin. Brisbane, Qld. : Outridge Printing Co, 1900. Item is held by State Library of Queensland.",,Accession number: Bib 733263 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1209 ,,1900,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1209,The absent minded beggar - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401918&custom_att_3=NLA,The absent minded beggar - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401922&custom_att_3=NLA,The absent minded beggar - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401926&custom_att_3=NLA,The absent minded beggar - Page 6 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401930&custom_att_3=NLA,The absent minded beggar - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401910&custom_att_3=NLA,The absent minded beggar - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401914&custom_att_3=NLA,065383-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401919,065383-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401923,065383-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401927,065383-s006 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401931,The absent minded beggar thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401911,065383-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401915,,,,,,,,,,,,,,,,,,,,,,
Sons of the bush a reminiscent song,,"Voller, Kelsey",Songs (Medium voice) with piano,Front cover features montage of scenes from bush life.,State Library of Queensland,,image,Digital format: image/jpeg Original format: 1 score (3) p. ; 35 cm.,,"Copied and digitised from Sons of the bush a reminiscent song / words and music by Kelsey Voller. [Brisbane, Qld.] : Outridge Printing Co., [1900] Item is held by State Library of Queensland.",,Accession number: Bib 733265 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1173 ,,1900,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1173,Sons of the bush a reminiscent song - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401936&custom_att_3=NLA,Sons of the bush a reminiscent song - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401940&custom_att_3=NLA,Sons of the bush a reminiscent song - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401944&custom_att_3=NLA,Sons of the bush a reminiscent song - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401948&custom_att_3=NLA,Sons of the bush a reminiscent song thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401937,065385-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401941,065385-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401945,065385-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401949,,,,,,,,,,,,,,,,,,,,,,,,,,
The Queensland waltz,,"Lamond, Jean",Waltzes Piano music,"'Dedicated to Mrs John Stevenson, Mrs Palmer'. --cover.",State Library of Queensland,,image,Digital format: image/jpeg Original format: 1 score (7 p.) ; 36 cm.,,"Copied and digitised from The Queensland waltz by Jean Lamond [S.l.] : Paling & Co., [1897] Item is held by State Library of Queensland.",,Accession number: Bib 736147 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1174 ,Queensland,1897,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1174,The Queensland waltz - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401954&custom_att_3=NLA,The Queensland waltz - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401958&custom_att_3=NLA,The Queensland waltz - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401962&custom_att_3=NLA,The Queensland waltz - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401966&custom_att_3=NLA,The Queensland waltz - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401970&custom_att_3=NLA,The Queensland waltz - Page 6 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401974&custom_att_3=NLA,The Queensland waltz - Page 7 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401978&custom_att_3=NLA,The Queensland waltz thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401955,069055-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401959,069055-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401963,069055-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401967,069055-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401971,069055-s006 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401975,069055-s007 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401979,,,,,,,,,,,,,,,,,,,,
Soldiers of the willow,,"Zelman, Alberto,1874-1927","War songs--Australia Patriotic music--Australia Songs, English--Australia Cricket--Songs and music Popular music--Australia",,State Library of Queensland,"Evans, George Essex,1863-1909",image,Digital format: image/jpeg Original format: 1 score [2 p.] ; 34 cm.,,"Copied and digitised from Soldiers of the willow words by Geo. Essex Evans ; music by Alberto Zelman. Melbourne : Allan, [19--?]. Item is held by State Library of Queensland.",,Accession number: Bib 92221 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Sheet music covers Is part of: View score online: http://hdl.handle.net/10462/comp/1214 ,,19--?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1214,Soldiers of the willow - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401983&custom_att_3=NLA,Soldiers of the willow - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401987&custom_att_3=NLA,Soldiers of the willow - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401991&custom_att_3=NLA,092221-s001 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401984,092221-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401988,092221-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401992,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowling song,,"Brier, Percy,1885-1970",Songs (Medium voice) with piano Bowls (Game)--Songs and music,"'Dedicated to James Chapman, ESQ'. -cover.",State Library of Queensland,"Sapsford, N.",image,Digital format: image/jpeg Original format: 1 score (4 p.) ; 37 cm.,,"Copied and digitised from Bowling song / music by Percy Brier ; words by N.Sapsford. Brisbane, Qld. : Sapsford & Co., [19--?] Item is held by State Library of Queensland.",,Accession number: Bib 625830 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1183 ,,19--?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1183,Bowling song - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401996&custom_att_3=NLA,Bowling song - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402000&custom_att_3=NLA,Bowling song - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402004&custom_att_3=NLA,Bowling song - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402008&custom_att_3=NLA,Bowling song - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402012&custom_att_3=NLA,Bowling song - Page 6 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402016&custom_att_3=NLA,Bowling song thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=401997,101961-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402001,101961-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402005,101961-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402009,101961-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402013,101961-s006 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402017,,,,,,,,,,,,,,,,,,,,,,
The city tram conductor,,"Benvenuti, V. G.",Songs (Medium voice) with piano Tram conductors--Queensland--Brisbane,"Features a photograph of a tram and people at the Victoria Bridge end of Queen Street, Brisbane. The cover includes a printed note - 'Complimentary song to the City Tram Service' and a hand written note - 'With compliments of E.T. Shorley'.",State Library of Queensland,"Shorley, E. T.(Ezra Thomas),1868-1946.",image,Digital format: image/jpeg Original format: 1 score (4) p. ; 32 cm.,,"Copied and digitised from The city tram conductor words by E.T. Shorley ; music by V.G. Benvenuti. [Brisbane, Qld.] : s.n., [19--?] Item is held by State Library of Queensland.",,Accession number: Bib 757134 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1188 ,,19--?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1188,The city tram conductor - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402022&custom_att_3=NLA,The city tram conductor - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402026&custom_att_3=NLA,The city tram conductor - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402030&custom_att_3=NLA,The city tram conductor - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402034&custom_att_3=NLA,The city tram conductor - Page 5 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402038&custom_att_3=NLA,The city tram conductor - Page 6 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402042&custom_att_3=NLA,The city tram conductor thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402023,101962-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402027,101962-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402031,101962-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402035,101962-s005 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402039,101962-s006 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402043,,,,,,,,,,,,,,,,,,,,,,
Where the red gold oranges grow one-step,,"Shanoski, J.",Songs (Medium voice) with piano,"'Montville, Queensland'--cover. 'Featured with great success by Miss Bedford Young's Joybell Children at the Majestic Theatre, in the 1926 pantomine, 'Robinson Crusoe'--cover. Front cover features note by Rita McIver.",State Library of Queensland,"McIver, Rita",image,Digital format: image/jpeg Original format: 1 score (3) p. ; 32 cm.,,"Copied and digitised from Where the red gold oranges grow one-step / lyric by Rita McIver ; music by J.Shanoski. [S.l. : s.n., 19--?] Item is held by State Library of Queensland.",,Accession number: Bib 757136 http://hdl.handle.net/10462/comp/1191 Is part of: Music Queensland Is part of: View score online: http://hdl.handle.net/10462/comp/1191 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Sheet music covers ,Montville (Qld.),19--?,Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright,http://hdl.handle.net/10462/comp/1191,Where the red gold oranges grow one-step - Cover 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402048&custom_att_3=NLA,Where the red gold oranges grow one-step - Page 2 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402052&custom_att_3=NLA,Where the red gold oranges grow one-step - Page 3 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402056&custom_att_3=NLA,Where the red gold oranges grow one-step - Page 4 1000 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402060&custom_att_3=NLA,Where the red gold oranges grow one-step thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402049,101964-s002 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402053,101964-s003 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402057,101964-s004 thumbnail 150 pixel jpg: http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=402061,,,,,,,,,,,,,,,,,,,,,,,,,,
